,2022,2023,2024
cost_of_goods_sold,315215914.0,94897632.0,42599815.0
current_assets,140507461.0,120357611.0,91598414.0
current_liabilities,45157049.0,43619455.0,42197705.0
equity,105633515.0,86531365.0,58394650.0
financial_profit,1847973.0,3054564.0,2818373.0
gross_profit,28992687.0,17225948.0,5795287.0
net_income,-4892992.0,-19102150.0,-28136715.0
other_profit,2723067.0,3218143.0,2781314.0
profit_before_tax,-4892992.0,-18268465.0,-28136715.0
revenue,344330500.0,112123581.0,48400711.0
total_assets,150790564.0,130150820.0,100592355.0
total_debt,45157049.0,43619455.0,42197705.0
roa,-0.03244892697662435,-0.14676934036988779,-0.27971027221700895
roe,-0.04632045047445406,-0.220754058369471,-0.4818372059769174
debt_ratio,0.29946866569184,0.33514544894914994,0.41949216717314153
current_ratio,3.1115288556610508,2.759264438310841,2.1706965817216837
gross_margin,0.08420017105658663,0.15363358756798892,0.11973557578524001
net_profit_margin,-0.01421016145825014,-0.17036692754220897,-0.5813285470124602
revenue_growth,0.0,-0.6743722063540697,-0.5683271032879337
