,2022,2023,2024
cost_of_goods_sold,20334574.0,30601991.0,36083314.0
current_assets,44376748.0,61335912.0,73648380.0
current_liabilities,13793016.0,17087497.0,17931063.0
equity,77247957.0,92075445.0,104859941.0
financial_profit,1404616.0,2638159.0,2219292.0
gross_profit,22460469.0,38279962.0,48583643.0
net_income,12949012.0,24899900.0,31879243.0
other_profit,-16403.0,31157.0,358907.0
profit_before_tax,16294212.0,31270820.0,40013050.0
revenue,42795043.0,68881953.0,84666957.0
total_assets,91040973.0,109162942.0,122791004.0
total_debt,13793016.0,17087497.0,17931063.0
roa,0.14223279445838086,0.22809846953373608,0.25962197523851177
roe,0.1676291840313654,0.2704293202166984,0.30401736541125846
debt_ratio,0.1515033895782287,0.15653203080583886,0.14602912604249085
current_ratio,3.2173346279015407,3.589519986455594,4.107306967802188
gross_margin,0.5248380986554915,0.5557328201771515,0.5738205874105053
net_profit_margin,0.30258205372056757,0.3614865565730983,0.3765252009706691
revenue_growth,0.0,0.609577842929145,0.22916022720784346
