,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,1.000231976448885,0.06825144956892684,-0.4168096967496548,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
current_assets,1.14711503487471,1.4037860496921077,1.529420198002196,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
current_liabilities,-0.49241840461179776,-0.46294136415068676,-0.43049229751049267,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
equity,2.2269479042104585,2.5405594479647657,2.5650221453452184,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
financial_profit,-0.5261376633820916,-0.3959480958691176,-0.37770865162680284,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
gross_profit,-0.3903241456872543,-0.2961356795361658,-0.2207365215314977,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
net_income,-0.5799231128326093,-0.5735703528804785,-0.41970436365248315,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
other_profit,-0.6160712598461728,-0.5278731958974645,-0.4907888139131064,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
profit_before_tax,-0.5799231128326093,-0.5735703528804785,-0.41970436365248315,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
revenue,1.225978834752218,0.2991241580479237,-0.14680397907149606,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
total_assets,2.3700199425207114,2.637472244013367,2.6596332016915363,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
total_debt,-0.4729989656803347,-0.430095591966561,-0.3961311828633386,-0.23944555089753744,-0.2326195785724483,-0.2392707990673731
roa,-0.6160710039905875,-0.5270083880151627,-0.49074223920965643,-0.23564060268208506,-0.2348040400902301,-0.23625798068266096
roe,-0.6160710039905875,-0.5270083880151627,-0.49074223920965643,-0.23544912252861883,-0.23487305316015009,-0.23616469929899211
debt_ratio,-0.6160710039905875,-0.5270083880151627,-0.49074223920965643,-0.22438570426718754,-0.22807290030916685,-0.23525820821043214
current_ratio,-0.6160710039905875,-0.5270083880151627,-0.49074223920965643,4.242470352113774,4.241597287869037,4.240697713573029
gross_margin,-0.6160710039905875,-0.5270083880151627,-0.49074223920965643,-0.20092529585128402,-0.19113005883728723,-0.1343799087030149
net_profit_margin,-0.6160710039905875,-0.5270083880151627,-0.49074223920965643,-0.23327746511661138,-0.24098710530574838,-0.21167425007256221
revenue_growth,-0.6160710039905875,-0.5270083880151627,-0.49074223920965643,-0.23944555089753744,-0.3202951872970743,-0.3157130777968895
