,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.088245271366461,2.267731907897501,2.253179116204858,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
current_assets,1.1770721834603837,0.9452308017571538,0.9649355458021616,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
current_liabilities,0.05655408116021245,0.0956939007880366,0.236141866066658,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
equity,0.4759281123347679,0.30181628261607857,0.13360307227506207,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
financial_profit,-0.7486024602741544,-0.7229794875979225,-0.7313583956121034,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
gross_profit,-0.2636057520931912,-0.30453166234374873,-0.3151331772039348,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
net_income,-0.5086262368575707,-0.5177708255673933,-0.544307493272812,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
other_profit,-0.7040921542524569,-0.6736456747914377,-0.6776675472688841,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
profit_before_tax,-0.458793741039679,-0.47796449544231745,-0.5085518627378407,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
revenue,2.5304747296377434,2.6375321755520087,2.6164951577322966,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
total_assets,1.23902788090402,1.0723150823061418,1.0666734805505347,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
total_debt,0.05726455820477863,0.09625795005743384,0.25468538614311265,-0.31891890701327136,-0.3630613834191041,-0.3830947114188871
roa,-0.7058352103644737,-0.6742408507473622,-0.6783850212398728,-0.13429331417464313,-0.1724581128553616,-0.1946138675457803
roe,-0.7058352103644737,-0.6742408507473622,-0.6783850212398728,-0.015075071011266388,-0.0219960280383657,0.021972926459408695
debt_ratio,-0.7058352103644737,-0.6742408507473622,-0.6783850212398728,0.3954894926744167,0.5755183300430782,0.9285784708296262
current_ratio,-0.7058352103644737,-0.6742408507473622,-0.6783850212398728,4.177910766459535,4.112021904138936,4.02496051267132
gross_margin,-0.7058352103644737,-0.6742408507473622,-0.6783850212398728,-0.07011807597644351,-0.12555167088264454,-0.11264319785801091
net_profit_margin,-0.7058352103644737,-0.6742408507473622,-0.6783850212398728,-0.2079680067990704,-0.2625414291774048,-0.28327011047452194
revenue_growth,-0.7058352103644737,-0.6742408507473622,-0.6783850212398728,-0.31891890701327136,0.25174360780101185,0.21215180294460273
